1 

         1785813871 function calls (1686535384 primitive calls) in 538.854 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1351551    1.587    0.000    1.750    0.000 coreviews.py:269(__iter__)
  3421329    1.529    0.000    2.099    0.000 graph.py:349(adj)
  4146222    1.374    0.000    4.333    0.000 coreviews.py:276(<genexpr>)
 11619984    1.359    0.000    1.359    0.000 {method 'get' of 'dict' objects}
   294468    1.248    0.000    2.783    0.000 graphviews.py:80(subgraph_view)
        1    1.140    1.140  540.085  540.085 GerrymanderingMCMC.py:345(generate_alternative_plans)
  2146183    1.121    0.000    5.645    0.000 _collections_abc.py:742(__iter__)
  1072112    1.082    0.000    1.563    0.000 coreviews.py:320(__getitem__)
 13911159    1.073    0.000    1.073    0.000 {method 'items' of 'dict' objects}
      755    0.959    0.001    0.966    0.001 {built-in method io.open}
      751    0.902    0.001    0.902    0.001 {method 'close' of '_io.TextIOWrapper' objects}
  1607544    0.882    0.000    0.981    0.000 union_find.py:53(__getitem__)
11920481/11918381    0.857    0.000    0.949    0.000 {built-in method builtins.len}
   711758    0.777    0.000    5.334    0.000 reportviews.py:1025(__iter__)
   294468    0.701    0.000   10.529    0.000 graph.py:1628(subgraph)
   585760    0.679    0.000  148.551    0.000 GerrymanderingMCMC.py:168(__district_size)
   295472    0.647    0.000    0.718    0.000 graph.py:300(__init__)
      653    0.609    0.001   18.391    0.028 GerrymanderingMCMC.py:269(__random_spanning_tree)
   322512    0.581    0.000    0.708    0.000 graph.py:830(add_edge)
  2027550    0.572    0.000    1.195    0.000 graph.py:1513(<genexpr>)
  5197205    0.538    0.000    0.538    0.000 {built-in method builtins.id}
  1366580    0.520    0.000    0.520    0.000 coreviews.py:262(__init__)
   366641    0.404    0.000    0.404    0.000 graph.py:416(__contains__)
   294468    0.397    0.000    0.397    0.000 function.py:147(freeze)
   564665    0.396    0.000    5.894    0.000 mst.py:169(filter_nan_edges)
   564012    0.389    0.000    2.020    0.000 reportviews.py:928(__getitem__)
  5076108    0.367    0.000    0.367    0.000 filters.py:24(no_filter)
   147362    0.319    0.000    0.379    0.000 decorators.py:64(_not_implemented_for)
   566221    0.313    0.000    0.376    0.000 reportviews.py:906(__init__)
   240413    0.312    0.000    7.905    0.000 mst.py:123(kruskal_mst_edges)
  4311762    0.310    0.000    0.310    0.000 reportviews.py:655(<lambda>)
  1601345    0.301    0.000    1.837    0.000 coreviews.py:267(<genexpr>)
   283090    0.251    0.000    0.251    0.000 encoder.py:223(floatstr)
   294468    0.219    0.000    0.615    0.000 graph.py:1827(nbunch_iter)
   596051    0.216    0.000    1.463    0.000 reportviews.py:174(__iter__)
   566221    0.210    0.000    0.586    0.000 graph.py:1242(edges)
   239760    0.209    0.000    0.793    0.000 union_find.py:101(union)
   255100    0.202    0.000    2.039    0.000 {built-in method builtins.sum}
      653    0.189    0.000    6.082    0.009 {built-in method builtins.sorted}
   294468    0.178    0.000    0.178    0.000 coreviews.py:303(__init__)
   509406    0.167    0.000    0.167    0.000 coreviews.py:317(<genexpr>)
   239760    0.147    0.000    0.211    0.000 {built-in method builtins.max}
   255100    0.147    0.000    2.411    0.000 coreviews.py:266(__len__)
   146709    0.138    0.000    0.138    0.000 graph.py:987(remove_edge)
   860689    0.135    0.000    0.135    0.000 {built-in method builtins.hasattr}
   146709    0.113    0.000    0.488    0.000 decorator.py:decorator-gen-174>:1(connected_components)
  1219651    0.106    0.000    0.106    0.000 {method 'append' of 'list' objects}
   239760    0.104    0.000    0.373    0.000 union_find.py:103(<listcomp>)
   585760    0.090    0.000    0.090    0.000 reportviews.py:189(__call__)
   256009    0.089    0.000    0.131    0.000 _collections_abc.py:676(items)
        1    0.088    0.088    0.089    0.089 {method 'read' of '_io.TextIOWrapper' objects}
   479520    0.064    0.000    0.064    0.000 union_find.py:105(<lambda>)
   590749    0.060    0.000    0.060    0.000 graph.py:1424(is_multigraph)
   589443    0.060    0.000    0.060    0.000 graph.py:1428(is_directed)
      350    0.059    0.000    0.250    0.001 boundary.py:100(node_boundary)
   146959    0.058    0.000    0.086    0.000 graph.py:398(__iter__)
   564012    0.057    0.000    0.057    0.000 {built-in method math.isnan}
   564012    0.057    0.000    0.057    0.000 {method 'random' of '_random.Random' objects}
        1    0.053    0.053    0.423    0.423 GerrymanderingMCMC.py:53(read_graph)
      653    0.047    0.000    9.977    0.015 mst.py:552(maximum_spanning_tree)
        1    0.044    0.044    0.044    0.044 decoder.py:343(raw_decode)
        1    0.042    0.042    0.052    0.052 adjacency.py:15(adjacency_data)
   256009    0.042    0.000    0.042    0.000 _collections_abc.py:698(__init__)
      754    0.040    0.000    0.042    0.000 encoder.py:204(iterencode)
   292880    0.039    0.000    0.039    0.000 {built-in method builtins.abs}
     1500    0.031    0.000    0.036    0.000 BWP.py:16(append)
    72173    0.030    0.000    0.103    0.000 graph.py:451(__getitem__)
      269    0.029    0.000    0.342    0.001 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
    42000    0.023    0.000    0.023    0.000 {built-in method _bisect.insort_right}
      350    0.020    0.000    0.043    0.000 boundary.py:137(<setcomp>)
    72523    0.019    0.000    0.122    0.000 boundary.py:138(<genexpr>)
     1050    0.016    0.000    0.117    0.000 random.py:286(sample)
     7700    0.016    0.000   45.015    0.006 GerrymanderingMCMC.py:153(__get_district_nodes)
     1502    0.016    0.000    0.016    0.000 {built-in method posix.stat}
      753    0.014    0.000    0.014    0.000 {built-in method posix.mkdir}
      350    0.014    0.000    0.033    0.000 GerrymanderingMCMC.py:149(<listcomp>)
     7000    0.012    0.000    0.012    0.000 RDS.py:11(append)
      250    0.009    0.000    0.285    0.001 RDS.py:56(save)
      753    0.006    0.000    0.042    0.000 os.py:198(makedirs)
     2100    0.006    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
      753    0.005    0.000    0.010    0.000 posixpath.py:154(dirname)
      250    0.005    0.000    0.548    0.002 MMD.py:14(save)
      350    0.005    0.000    2.499    0.007 GerrymanderingMCMC.py:143(__find_neighboring_district)
      250    0.005    0.000    9.590    0.038 node_link.py:20(node_link_data)
      350    0.004    0.000   30.685    0.088 graph.py:1432(copy)
     1050    0.004    0.000    0.120    0.000 GerrymanderingMCMC.py:137(__random_district_label)
        1    0.004    0.004    0.005    0.005 RDS.py:36(summary)
        1    0.003    0.003  540.513  540.513 runner.py:7(main)
     5792    0.003    0.000    0.004    0.000 graph.py:477(add_node)
      903    0.003    0.000    0.003    0.000 reportviews.py:642(__init__)
      755    0.003    0.000    0.005    0.000 _bootlocale.py:33(getpreferredencoding)
1053/1052    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     1306    0.003    0.000    0.003    0.000 coreviews.py:311(__iter__)
      903    0.003    0.000    0.006    0.000 reportviews.py:933(__call__)
     1050    0.003    0.000    0.004    0.000 random.py:224(_randbelow)
      755    0.002    0.000    0.002    0.000 {built-in method _locale.nl_langinfo}
      700    0.002    0.000    4.486    0.006 GerrymanderingMCMC.py:160(__get_district_subgraph)
      753    0.002    0.000    0.003    0.000 posixpath.py:104(split)
      753    0.002    0.000    0.002    0.000 encoder.py:259(_make_iterencode)
     1506    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _codecs.utf_8_decode}
      749    0.002    0.000    0.006    0.000 genericpath.py:39(isdir)
      653    0.002    0.000    0.002    0.000 mst.py:402(maximum_spanning_edges)
        1    0.002    0.002    0.425    0.425 GerrymanderingMCMC.py:31(__init__)
      653    0.001    0.000    0.006    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
     2100    0.001    0.000    0.011    0.000 abc.py:137(__instancecheck__)
      653    0.001    0.000    0.001    0.000 union_find.py:38(__init__)
      753    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
        1    0.001    0.001    0.002    0.002 MMD.py:21(summary)
     1506    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
     1491    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
     1507    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        2    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method posix.open}
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
     1506    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.001    0.001    0.104    0.104 BWP.py:34(save)
1053/1052    0.001    0.000    0.004    0.000 abc.py:141(__subclasscheck__)
     1050    0.000    0.000    0.093    0.000 reportviews.py:171(__len__)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      250    0.000    0.000    0.000    0.000 MMD.py:11(append)
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.134    0.134 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.044    0.044 decoder.py:332(decode)
