37 

         1361254557 function calls (1313204074 primitive calls) in 434.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.011    0.011 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.018    0.018 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_opener)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        1    0.000    0.000    0.000    0.000 pathlib.py:692(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:1199(open)
        1    0.000    0.000    0.000    0.000 RDS.py:6(__init__)
        1    0.000    0.000    0.000    0.000 MMD.py:6(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1034(_init)
        1    0.000    0.000    0.000    0.000 graph.py:1345(adjacency)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:294(splitroot)
        2    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5555558899a0}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}


New Profile

10 

         1416413499 function calls (1368358941 primitive calls) in 470.620 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 88296405   53.671    0.000   65.644    0.000 coreviews.py:278(__getitem__)
 86516354   51.275    0.000  186.876    0.000 GerrymanderingMCMC.py:173(<lambda>)
102987234   41.258    0.000   56.107    0.000 graph.py:666(nodes)
 46005789   33.753    0.000   91.455    0.000 connected.py:185(_plain_bfs)
102733153   26.679    0.000   90.017    0.000 reportviews.py:177(__getitem__)
 87760410   21.987    0.000   21.987    0.000 coreviews.py:275(<genexpr>)
   451736   21.604    0.000  231.479    0.001 {built-in method _functools.reduce}
96128966/48076510   19.969    0.000   36.121    0.000 encoder.py:333(_iterencode_dict)
 46005789   18.043    0.000   32.318    0.000 {method 'update' of 'set' objects}
 45439312   16.645    0.000   21.732    0.000 coreviews.py:80(__getitem__)
102987234   14.850    0.000   14.850    0.000 reportviews.py:167(__init__)
      753   12.191    0.016   62.948    0.084 __init__.py:120(dump)
 92732865   11.434    0.000   11.434    0.000 filters.py:58(__call__)
 48052580    9.636    0.000   28.587    0.000 encoder.py:277(_iterencode_list)
 45439312    9.402    0.000   14.296    0.000 coreviews.py:50(__iter__)
   741320    8.370    0.000  100.979    0.000 connected.py:26(connected_components)
      904    8.203    0.009   13.526    0.015 graph.py:894(add_edges_from)
 48075758    7.654    0.000    7.654    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 48076510    6.974    0.000   43.095    0.000 encoder.py:413(_iterencode)
 43861907    5.411    0.000    5.411    0.000 graph.py:1872(bunch_iter)
 46128991    5.207    0.000    5.207    0.000 coreviews.py:44(__init__)
 46011311    5.124    0.000    5.951    0.000 {built-in method builtins.iter}
     4200    4.497    0.001   11.402    0.003 GerrymanderingMCMC.py:158(<listcomp>)
 45380726    4.333    0.000    4.333    0.000 {method 'add' of 'set' objects}
   227534    4.103    0.000    9.514    0.000 filters.py:55(__init__)
 39555976    3.636    0.000    3.646    0.000 {built-in method builtins.isinstance}
  5077794    3.305    0.000    4.376    0.000 coreviews.py:322(new_node_ok)
  5337150    2.335    0.000    2.982    0.000 graph.py:1514(<genexpr>)
      250    2.318    0.009   83.388    0.334 GerrymanderingMCMC.py:365(perform_calculations)
 13823916    2.254    0.000    2.254    0.000 {method 'update' of 'dict' objects}
 16538140    2.094    0.000    2.094    0.000 {built-in method _json.encode_basestring_ascii}
      904    2.078    0.002    3.920    0.004 graph.py:523(add_nodes_from)
      250    1.780    0.007    3.162    0.013 node_link.py:98(<listcomp>)
      350    1.752    0.005  386.321    1.104 GerrymanderingMCMC.py:210(recombination_of_districts)
  2431896    1.622    0.000    6.383    0.000 reportviews.py:717(__iter__)
   112934    1.470    0.000  348.197    0.003 GerrymanderingMCMC.py:176(__is_valid_district_plan)
  1068631    1.321    0.000    1.456    0.000 coreviews.py:269(__iter__)
  3763827    1.277    0.000    4.277    0.000 coreviews.py:276(<genexpr>)
      250    1.238    0.005    1.787    0.007 node_link.py:90(<listcomp>)
  1869546    1.056    0.000    5.332    0.000 _collections_abc.py:742(__iter__)
   933942    1.013    0.000    1.457    0.000 coreviews.py:320(__getitem__)
   227534    0.998    0.000    2.203    0.000 graphviews.py:80(subgraph_view)
      755    0.984    0.001    0.991    0.001 {built-in method io.open}
  7406725    0.931    0.000    0.931    0.000 {method 'copy' of 'dict' objects}
  1453376    0.803    0.000    0.895    0.000 union_find.py:53(__getitem__)
  6304254    0.785    0.000    0.785    0.000 {method 'get' of 'dict' objects}
   639134    0.708    0.000    4.973    0.000 reportviews.py:1025(__iter__)
        1    0.654    0.654  470.449  470.449 GerrymanderingMCMC.py:345(generate_alternative_plans)
      554    0.572    0.001   17.239    0.031 GerrymanderingMCMC.py:269(__random_spanning_tree)
  6766858    0.556    0.000    0.556    0.000 {method 'items' of 'dict' objects}
   227534    0.556    0.000   12.845    0.000 graph.py:1628(subgraph)
   451736    0.547    0.000  232.439    0.001 GerrymanderingMCMC.py:168(__district_size)
   228439    0.504    0.000    0.560    0.000 graph.py:300(__init__)
6456931/6454831    0.503    0.000    0.593    0.000 {built-in method builtins.len}
  1161476    0.461    0.000    0.461    0.000 coreviews.py:262(__init__)
   240766    0.412    0.000    0.512    0.000 graph.py:830(add_edge)
   525092    0.395    0.000    2.020    0.000 reportviews.py:928(__getitem__)
   525646    0.384    0.000    5.662    0.000 mst.py:169(filter_nan_edges)
  4725828    0.368    0.000    0.368    0.000 filters.py:24(no_filter)
   689679    0.344    0.000    0.464    0.000 graph.py:349(adj)
   289135    0.338    0.000    0.338    0.000 graph.py:416(__contains__)
      751    0.314    0.000    0.314    0.000 {method 'close' of '_io.TextIOWrapper' objects}
   527004    0.307    0.000    0.368    0.000 reportviews.py:906(__init__)
   202150    0.300    0.000    7.506    0.000 mst.py:123(kruskal_mst_edges)
  1463738    0.286    0.000    1.785    0.000 coreviews.py:267(<genexpr>)
   227534    0.285    0.000    0.285    0.000 function.py:147(freeze)
  2573607    0.278    0.000    0.278    0.000 {built-in method builtins.id}
   113796    0.273    0.000    0.321    0.000 decorators.py:64(_not_implemented_for)
   272508    0.267    0.000    0.267    0.000 encoder.py:223(floatstr)
   933100    0.245    0.000    0.521    0.000 graph.py:1513(<genexpr>)
   527004    0.211    0.000    0.579    0.000 graph.py:1242(edges)
  2431092    0.199    0.000    0.199    0.000 reportviews.py:655(<lambda>)
      554    0.185    0.000    5.847    0.011 {built-in method builtins.sorted}
   201596    0.184    0.000    0.660    0.000 union_find.py:101(union)
   205475    0.182    0.000    1.967    0.000 {built-in method builtins.sum}
   227534    0.178    0.000    0.509    0.000 graph.py:1827(nbunch_iter)
   458506    0.175    0.000    1.210    0.000 reportviews.py:174(__iter__)
   227534    0.165    0.000    0.165    0.000 coreviews.py:303(__init__)
   409958    0.141    0.000    0.141    0.000 coreviews.py:317(<genexpr>)
   201596    0.131    0.000    0.185    0.000 {built-in method builtins.max}
   205475    0.127    0.000    2.280    0.000 coreviews.py:266(__len__)
   754538    0.125    0.000    0.125    0.000 {built-in method builtins.hasattr}
   113242    0.114    0.000    0.114    0.000 graph.py:987(remove_edge)
  1171426    0.095    0.000    0.095    0.000 {method 'append' of 'list' objects}
   113242    0.091    0.000    0.407    0.000 decorator.py:decorator-gen-174>:1(connected_components)
   201596    0.090    0.000    0.291    0.000 union_find.py:103(<listcomp>)
   206087    0.075    0.000    0.112    0.000 _collections_abc.py:676(items)
   451736    0.075    0.000    0.075    0.000 reportviews.py:189(__call__)
        1    0.070    0.070    0.074    0.074 adjacency.py:15(adjacency_data)
      308    0.064    0.000    0.455    0.001 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
   525092    0.057    0.000    0.057    0.000 {built-in method math.isnan}
   525092    0.055    0.000    0.055    0.000 {method 'random' of '_random.Random' objects}
   403192    0.054    0.000    0.054    0.000 union_find.py:105(<lambda>)
      350    0.050    0.000    0.218    0.001 boundary.py:100(node_boundary)
   113492    0.049    0.000    0.072    0.000 graph.py:398(__iter__)
   455377    0.048    0.000    0.048    0.000 graph.py:1428(is_directed)
   456485    0.047    0.000    0.047    0.000 graph.py:1424(is_multigraph)
      554    0.042    0.000    9.199    0.017 mst.py:552(maximum_spanning_tree)
   206087    0.036    0.000    0.036    0.000 _collections_abc.py:698(__init__)
   225868    0.032    0.000    0.032    0.000 {built-in method builtins.abs}
    61601    0.027    0.000    0.089    0.000 graph.py:451(__getitem__)
      754    0.023    0.000    0.025    0.000 encoder.py:204(iterencode)
        1    0.020    0.020    0.168    0.168 GerrymanderingMCMC.py:53(read_graph)
      350    0.018    0.000    0.039    0.000 boundary.py:137(<setcomp>)
     1500    0.018    0.000    0.021    0.000 BWP.py:16(append)
    61951    0.018    0.000    0.107    0.000 boundary.py:138(<genexpr>)
     1050    0.014    0.000    0.079    0.000 random.py:286(sample)
     1502    0.014    0.000    0.014    0.000 {built-in method posix.stat}
      753    0.013    0.000    0.013    0.000 {built-in method posix.mkdir}
      350    0.011    0.000    0.027    0.000 GerrymanderingMCMC.py:149(<listcomp>)
        1    0.011    0.011    0.011    0.011 decoder.py:343(raw_decode)
     4200    0.009    0.000   11.421    0.003 GerrymanderingMCMC.py:153(__get_district_nodes)
    21000    0.009    0.000    0.009    0.000 {built-in method _bisect.insort_right}
      250    0.006    0.000    0.455    0.002 RDS.py:56(save)
      753    0.005    0.000    0.039    0.000 os.py:198(makedirs)
     3500    0.005    0.000    0.005    0.000 RDS.py:11(append)
      250    0.005    0.000    0.353    0.001 MMD.py:14(save)
      753    0.005    0.000    0.009    0.000 posixpath.py:154(dirname)
     2100    0.005    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
      250    0.004    0.000    4.956    0.020 node_link.py:20(node_link_data)
      350    0.004    0.000    1.262    0.004 GerrymanderingMCMC.py:143(__find_neighboring_district)
      350    0.004    0.000   15.811    0.045 graph.py:1432(copy)
      755    0.003    0.000    0.005    0.000 _bootlocale.py:33(getpreferredencoding)
      804    0.003    0.000    0.003    0.000 reportviews.py:642(__init__)
     1050    0.003    0.000    0.082    0.000 GerrymanderingMCMC.py:137(__random_district_label)
     1108    0.003    0.000    0.003    0.000 coreviews.py:311(__iter__)
     1050    0.002    0.000    0.004    0.000 random.py:224(_randbelow)
      755    0.002    0.000    0.002    0.000 {built-in method _locale.nl_langinfo}
      804    0.002    0.000    0.005    0.000 reportviews.py:933(__call__)
1053/1052    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
      700    0.002    0.000    2.065    0.003 GerrymanderingMCMC.py:160(__get_district_subgraph)
        1    0.002    0.002    0.003    0.003 RDS.py:36(summary)
      753    0.002    0.000    0.003    0.000 posixpath.py:104(split)
      753    0.002    0.000    0.002    0.000 encoder.py:259(_make_iterencode)
        1    0.002    0.002  470.620  470.620 runner.py:7(main)
      749    0.002    0.000    0.006    0.000 genericpath.py:39(isdir)
     1506    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      554    0.001    0.000    0.001    0.000 mst.py:402(maximum_spanning_edges)
     2100    0.001    0.000    0.010    0.000 abc.py:137(__instancecheck__)
     2665    0.001    0.000    0.002    0.000 graph.py:477(add_node)
      753    0.001    0.000    0.012    0.000 genericpath.py:16(exists)
      554    0.001    0.000    0.005    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
     1506    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      554    0.001    0.000    0.001    0.000 union_find.py:38(__init__)
        1    0.001    0.001    0.002    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
     1495    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.001    0.001    0.001    0.001 MMD.py:21(summary)
     1507    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
      250    0.001    0.000    0.001    0.000 MMD.py:11(append)
        1    0.001    0.001    0.169    0.169 GerrymanderingMCMC.py:31(__init__)
     1506    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
1053/1052    0.001    0.000    0.003    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     1050    0.000    0.000    0.091    0.000 reportviews.py:171(__len__)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.081    0.081 BWP.py:34(save)
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.012    0.012 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.017    0.017 encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.011    0.011 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        1    0.000    0.000    0.011    0.011 __init__.py:299(loads)
        1    0.000    0.000    0.017    0.017 __init__.py:183(dumps)
        1    0.000    0.000    0.012    0.012 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_opener)
